Name,Year,Genre,Perspective,Console,Moby Score,Critics,Publishers,Developers,Multiplayer,Offline Players,Gameplay
Persona 5: Royal,2022,Compilation,Behind view,Windows,8.6,97% (8),SEGA Corporation,SEGA Corporation,0.0,1.0,Anime / Manga
Super Mario Galaxy 2,2010,Action,3rd-person (Other),Wii,9.1,96% (55),"Nintendo of America Inc., Nintendo Co., Ltd., Nintendo of Europe GmbH",Nintendo of America Inc.,0.0,1.0,"Platform, Puzzle elements"
Super Mario Galaxy,2007,Action,Behind view,Wii,9.2,96% (146),"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Nintendo Co., Ltd.",0.0,1.0,"Platform, Puzzle elements"
The Legend of Zelda: Ocarina of Time,1998,Action,1st-person,Nintendo 64,8.6,96% (74),"Nintendo Co., Ltd., Nintendo of Europe GmbH, Nintendo of America Inc., iQue, Ltd.","Nintendo Co., Ltd.",0.0,1.0,"Metroidvania, Puzzle elements"
Super Mario Odyssey,2017,Action,Behind view,Nintendo Switch,9.1,96% (38),Nintendo EPD,Nintendo EPD,0.0,1.0,Platform
The House in Fata Morgana: Dreams of the Revenants...,2019,Adventure,1st-person,PS Vita,8.6,96% (8),"Limited Run Games, Mighty Rabbit Studios, Inc., HuneX Co., Ltd.",Limited Run Games,0.0,1.0,Anime / Manga
The Legend of Zelda: Breath of the Wild,2017,Action,Behind view,Wii U,9.2,96% (81),"Nintendo of Europe GmbH, Nintendo of America Inc., Nintendo Co., Ltd., Nintendo of Korea Co., Ltd.",Nintendo of Europe GmbH,0.0,1.0,"Puzzle elements, RPG elements, Sandbox / open world"
The Legend of Zelda: Tears of the Kingdom,2023,Action,Behind view,Nintendo Switch,9.1,96% (23),Nintendo EPD,Nintendo EPD,0.0,1.0,"Puzzle elements, RPG elements, Sandbox / open world"
Resident Evil 4,2005,Action,Behind view,GameCube,9.0,96% (112),Capcom Production Studio 4,Capcom Production Studio 4,0.0,1.0,"Puzzle elements, Quick Time Events (QTEs), Shooter, Survival horror"
Super Mario Bros. 3,1988,Action,Side view,NES,8.7,95% (39),"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Nintendo Co., Ltd.",0.0,1.0,2D scrolling
Metroid Prime,2002,Action,1st-person,GameCube,8.8,95% (92),"Nintendo of America Inc., Nintendo Co., Ltd., Nintendo of Europe GmbH",Nintendo of America Inc.,0.0,1.0,"Metroidvania, Shooter"
Persona 5: Royal,2019,Role-playing (RPG),Behind view,PlayStation 4,8.8,95% (12),"Atlus Co., Ltd.","Atlus Co., Ltd.",0.0,1.0,Anime / Manga
The Last of Us: Remastered,2014,Action,Behind view,PlayStation 4,9.1,95% (34),"Naughty Dog, Inc.","Naughty Dog, Inc.",0.0,1.0,"Quick Time Events (QTEs), Shooter, Stealth, Survival horror"
Uncharted 2: Among Thieves,2009,Action,Behind view,PlayStation 3,9.1,95% (82),"Sony Computer Entertainment America Inc., Sony Computer Entertainment Europe Ltd.",Sony Computer Entertainment America Inc.,0.0,1.0,"Puzzle elements, Quick Time Events (QTEs), Shooter"
